Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,7.120000,7.120000,7.120000,7.120000,-5.861627,0
2017-08-17,7.220000,7.220000,7.220000,7.220000,-5.943953,1000
2017-08-18,7.210000,7.210000,7.210000,7.210000,-5.935720,200
2017-08-21,7.010000,7.020000,7.010000,7.020000,-5.779300,10100
2017-08-22,7.060000,7.150000,7.060000,7.150000,-5.886325,1100
2017-08-23,7.150000,7.150000,7.150000,7.150000,-5.886325,0
2017-08-24,7.100000,7.100000,7.100000,7.100000,-5.845162,300
2017-08-25,7.140000,7.140000,7.140000,7.140000,-5.878092,300
2017-08-28,7.300000,7.390000,7.200000,7.200000,-5.927487,3200
2017-08-29,7.180000,7.180000,7.160000,7.180000,-5.911022,19500
2017-08-30,7.150000,7.170000,7.150000,7.160000,-5.894557,87500
2017-08-31,7.420000,7.420000,7.280000,7.280000,-5.993348,500
2017-09-01,7.170000,7.170000,7.170000,7.170000,-5.902790,500
2017-09-05,7.210000,7.210000,7.210000,7.210000,-5.935720,100
2017-09-06,7.220000,7.220000,7.120000,7.120000,-5.861627,1700
2017-09-07,7.260000,7.260000,7.220000,7.220000,-5.943953,2600
2017-09-08,7.320000,7.320000,7.320000,7.320000,-6.026279,1000
2017-09-11,7.270000,7.270000,7.270000,7.270000,-5.985116,400
2017-09-12,7.390000,7.390000,7.390000,7.390000,-6.083907,2500
2017-09-13,7.400000,7.400000,7.400000,7.400000,-6.092140,100
2017-09-14,7.310000,7.310000,7.310000,7.310000,-6.018046,3100
2017-09-15,7.550000,7.650000,7.550000,7.640000,-6.289722,34300
2017-09-18,7.650000,7.650000,7.590000,7.590000,-6.248560,8100
2017-09-19,7.750000,7.820000,7.750000,7.750000,-6.380281,9900
2017-09-20,7.750000,7.750000,7.750000,7.750000,-6.380281,0
2017-09-21,7.730000,7.730000,7.730000,7.730000,-6.363817,3100
2017-09-22,7.800000,7.920000,7.800000,7.900000,-6.503771,9500
2017-09-25,7.950000,8.000000,7.940000,8.000000,-6.586098,67000
2017-09-26,8.080000,8.080000,7.880000,7.880000,-6.487306,9100
2017-09-27,7.880000,7.880000,7.880000,7.880000,-6.538753,2000
2017-09-28,8.080000,8.080000,8.080000,8.080000,-6.704710,100
2017-09-29,7.770000,7.780000,7.770000,7.770000,-6.447475,2600
2017-10-02,7.940000,7.940000,7.940000,7.940000,-6.588540,900
2017-10-03,8.130000,8.130000,8.130000,8.130000,-6.746200,200
2017-10-04,8.130000,8.130000,8.130000,8.130000,-6.746200,0
2017-10-05,7.860000,7.860000,7.860000,7.860000,-6.522157,500
2017-10-06,7.860000,7.860000,7.860000,7.860000,-6.522157,0
2017-10-09,7.860000,7.860000,7.860000,7.860000,-6.522157,0
2017-10-10,8.230000,8.230000,8.230000,8.230000,-6.829179,3000
2017-10-11,8.090000,8.090000,8.040000,8.050000,-6.679817,8000
2017-10-12,8.050000,8.050000,8.050000,8.050000,-6.679817,0
2017-10-13,8.030000,8.030000,8.030000,8.030000,-6.663221,2000
2017-10-16,8.030000,8.030000,8.030000,8.030000,-6.663221,0
2017-10-17,8.100000,8.100000,8.100000,8.100000,-6.721307,2100
2017-10-18,7.900000,8.040000,7.900000,8.040000,-6.671519,1000
2017-10-19,7.950000,7.950000,7.950000,7.950000,-6.596838,400
2017-10-20,7.950000,7.950000,7.950000,7.950000,-6.596838,0
2017-10-23,8.000000,8.000000,8.000000,8.000000,-6.638328,2000
2017-10-24,8.240000,8.240000,8.070000,8.070000,-6.696413,2700
2017-10-25,8.070000,8.070000,8.070000,8.070000,-6.696413,0
2017-10-26,8.070000,8.070000,8.070000,8.070000,-6.696413,200
2017-10-27,8.070000,8.070000,8.070000,8.070000,-6.696413,0
2017-10-30,7.890000,8.050000,7.890000,7.960000,-6.605136,6200
2017-10-31,7.960000,7.960000,7.960000,7.960000,-6.605136,0
2017-11-01,7.900000,7.900000,7.880000,7.880000,-6.538753,1000
2017-11-02,7.880000,7.880000,7.880000,7.880000,-6.538753,0
2017-11-03,7.880000,7.880000,7.880000,7.880000,-6.538753,0
2017-11-06,7.880000,7.880000,7.880000,7.880000,-6.538753,0
2017-11-07,7.810000,7.850000,7.810000,7.850000,-6.513859,21700
